"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2019,"Fraude",1,0,1,1,0,0,0,1,0,0,0,1,5
"Acatlán",2019,"Homicidio",2,0,0,1,0,0,1,0,0,0,0,0,4
"Acatlán",2019,"Hostigamiento sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"Acatlán",2019,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Incumplimiento de obligaciones de asistencia familiar",0,0,0,0,0,0,0,0,2,1,0,0,3
"Acatlán",2019,"Lesiones",4,2,1,1,3,2,1,2,3,3,1,1,24
"Acatlán",2019,"Narcomenudeo",0,1,0,1,0,0,0,0,0,0,0,0,2
"Acatlán",2019,"Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Otros delitos contra la sociedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Otros delitos del Fuero Común",3,1,6,0,1,3,4,2,1,4,1,1,27
"Acatlán",2019,"Otros delitos que atentan contra la libertad personal",1,0,2,0,1,0,0,0,1,0,1,1,7
"Acatlán",2019,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Otros delitos que atentan contra la vida y la integridad corporal",1,0,0,0,0,0,0,0,0,0,0,0,1
"Acatlán",2019,"Rapto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Robo",4,3,3,1,1,1,2,3,2,6,4,1,31
"Acatlán",2019,"Secuestro",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Violación",1,2,0,0,0,0,1,0,1,1,1,0,7
"Acatlán",2019,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
